127.0.0.1 - - [29/Oct/2024:09:00:59 +0900] "GET / HTTP/1.1" 200 57
172.10.12.45 - - [29/Oct/2024:09:01:06 +0900] "GET /nexa17_check.jsp HTTP/1.1" 200 1130
172.10.12.45 - - [29/Oct/2024:09:01:06 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
172.10.12.45 - - [29/Oct/2024:09:01:48 +0900] "GET /nexa17_check.jsp HTTP/1.1" 200 1130
172.10.12.45 - - [29/Oct/2024:09:01:53 +0900] "GET /index.jsp HTTP/1.1" 200 57
172.10.12.45 - - [29/Oct/2024:09:02:00 +0900] "GET /index.jsp HTTP/1.1" 200 59
172.10.12.45 - - [29/Oct/2024:09:31:39 +0900] "GET /nexacroN_v24/fileUpTransfer/quickview.html?screenid=Phone_screen&formname=Base::np_Upload_Transfer_All.xfdl HTTP/1.1" 404 857
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/launch.html?screenid=Phone_screen HTTP/1.1" 200 3116
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/nexacrolib/component/CompBase.js HTTP/1.1" 200 1463457
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/nexacrolib/framework/Framework.js HTTP/1.1" 200 1344198
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/nexacrolib/component/DeviceAPI.js HTTP/1.1" 200 164206
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/nexacrolib/component/ComComp.js HTTP/1.1" 200 1499145
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/nexacrolib/component/Grid.js HTTP/1.1" 200 636909
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/nexacrolib/component/ListView.js HTTP/1.1" 200 496894
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/environment.xml.js HTTP/1.1" 200 3948
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Application_Phone.xadl.js HTTP/1.1" 200 1921
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 136025
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/theme_chrome.css HTTP/1.1" 200 44798
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /NexacroN_client_license.xml HTTP/1.1" 200 895
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/FrameBase/mainForm.xfdl.js HTTP/1.1" 200 2715
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Base/np_Upload_Transfer_All.xfdl.js HTTP/1.1" 200 11210
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/images/btn_WF_Hdec_D.png HTTP/1.1" 200 941
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/images/btn_WF_Hinc_D.png HTTP/1.1" 200 945
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/images/btn_WF_Vdec_D.png HTTP/1.1" 200 940
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/images/btn_WF_Vinc_D.png HTTP/1.1" 200 937
172.10.12.45 - - [29/Oct/2024:09:42:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/_resource_/_theme_/blue/images/chk_WF_Box_S.png HTTP/1.1" 200 1222
172.10.12.16 - - [29/Oct/2024:09:44:26 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/start_ios.json HTTP/1.1" 200 603
172.10.12.16 - - [29/Oct/2024:09:44:27 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/start_ios.json HTTP/1.1" 200 603
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/Run.html?accessibility=0 HTTP/1.1" 200 2466
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/framework/Framework.js HTTP/1.1" 200 1343700
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/CompBase.js HTTP/1.1" 200 1462959
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/ComComp.js HTTP/1.1" 200 1498647
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/Grid.js HTTP/1.1" 200 636411
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/DeviceAPI.js HTTP/1.1" 200 163708
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/ListView.js HTTP/1.1" 200 496396
172.10.12.16 - - [29/Oct/2024:09:44:28 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/environment.xml.js HTTP/1.1" 200 3015
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/_resource_/_theme_/blue/theme_safari.css HTTP/1.1" 200 46421
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 53851
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/Application_Phone.xadl.js HTTP/1.1" 200 1024
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /NexacroN_client_license.xml HTTP/1.1" 200 895
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/FrameBase/mainForm.xfdl.js HTTP/1.1" 200 1487
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/Base/np_Upload_Transfer_All.xfdl.js HTTP/1.1" 200 7590
172.10.12.16 - - [29/Oct/2024:09:44:29 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/_resource_/_theme_/blue/images/chk_WF_Box_S.png HTTP/1.1" 200 1222
172.10.12.16 - - [29/Oct/2024:09:44:39 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/_resource_/_theme_/blue/images/btn_expand.png HTTP/1.1" 200 1651
172.10.12.16 - - [29/Oct/2024:09:44:43 +0900] "POST /fileUpload_postdatatest.jsp?filefolder=filefolders_8696523 HTTP/1.1" 200 923
172.10.12.16 - - [29/Oct/2024:10:14:50 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/start_ios.json HTTP/1.1" 200 603
172.10.12.16 - - [29/Oct/2024:10:14:51 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/start_ios.json HTTP/1.1" 200 603
172.10.12.16 - - [29/Oct/2024:10:14:51 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/Run.html?accessibility=0 HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/framework/Framework.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/Grid.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/ComComp.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/DeviceAPI.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/ListView.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/environment.xml.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/nexacrolib/component/CompBase.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/_resource_/_theme_/blue/theme_safari.css HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/Application_Phone.xadl.js HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /NexacroN_client_license.xml HTTP/1.1" 304 -
172.10.12.16 - - [29/Oct/2024:10:14:52 +0900] "GET /nexacroN/21.0.0.1700/fileUpTransfer/Deploy/_ios_/FrameBase/mainForm.xfdl.js HTTP/1.1" 304 -
