127.0.0.1 - - [01/Nov/2024:13:21:35 +0900] "GET / HTTP/1.1" 200 59
172.10.12.65 - - [01/Nov/2024:13:22:42 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/start_android.json HTTP/1.1" 200 1709
172.10.12.65 - - [01/Nov/2024:13:22:42 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/start_android.json HTTP/1.1" 200 1709
172.10.12.65 - - [01/Nov/2024:13:22:42 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/framework/Framework.js HTTP/1.1" 200 1343728
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/component/CompBase.js HTTP/1.1" 200 1462983
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/component/ListView.js HTTP/1.1" 200 496400
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/component/Grid.js HTTP/1.1" 200 636496
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/component/DeviceAPI.js HTTP/1.1" 200 163720
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/component/Accessibility.js HTTP/1.1" 200 176037
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/nexacrolib/component/ComComp.js HTTP/1.1" 200 1498719
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/environment.xml.js HTTP/1.1" 200 3188
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/Application_Desktop.xadl.js HTTP/1.1" 200 1041
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/FrameBase/testRadio.xfdl.js HTTP/1.1" 200 1820
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/theme_runtime.css HTTP/1.1" 200 34176
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 53851
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/Application_Desktop.xadl.js HTTP/1.1" 304 -
172.10.12.65 - - [01/Nov/2024:13:22:43 +0900] "GET /REQM/NexacroN_client_license.xml HTTP/1.1" 404 843
172.10.12.65 - - [01/Nov/2024:13:22:44 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/images/titlebar_icon.png HTTP/1.1" 200 1515
172.10.12.65 - - [01/Nov/2024:13:22:44 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/images/btn_TF_Min.png HTTP/1.1" 200 970
172.10.12.65 - - [01/Nov/2024:13:22:44 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/images/btn_TF_Max.png HTTP/1.1" 200 978
172.10.12.65 - - [01/Nov/2024:13:22:44 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/images/btn_TF_Normal.png HTTP/1.1" 200 988
172.10.12.65 - - [01/Nov/2024:13:22:44 +0900] "GET /nexacroN/21.0.0.1700/testTobe/Deploy/_android_/_resource_/_theme_/blue/images/btn_TF_Close.png HTTP/1.1" 200 1014
