127.0.0.1 - - [26/Mar/2025:09:47:06 +0900] "GET / HTTP/1.1" 200 116
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/quickview.html?screenid=Desktop_screen&formname=TCS::GridGroupUI_property42.xfdl HTTP/1.1" 200 10494
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/SystemBase.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/LocaleSupport.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/SystemBase_HTML5.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/SystemBase_Runtime.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/BasicObjs.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/ErrorDefine.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/Platform_Runtime.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/Platform_HTML5.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/Platform.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/Device_Android.js HTTP/1.1" 304 -
172.10.12.45 - - [26/Mar/2025:09:47:14 +0900] "GET /nexacroK/Grid_nexacroK/nexacrolib/framework/Device.js HTTP/1.1" 304 -
