127.0.0.1 - - [10/Jul/2025:09:29:35 +0900] "GET / HTTP/1.1" 200 116
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/index_jebi.html?xadl=Application_Desktop_calendartest.xadl.js HTTP/1.1" 200 3638
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/framework/Framework.js HTTP/1.1" 200 1338832
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/CompBase.js HTTP/1.1" 200 1507578
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/ListView.js HTTP/1.1" 200 498368
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/DeviceAPI.js HTTP/1.1" 200 169131
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/Grid.js HTTP/1.1" 200 633747
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/ComComp.js HTTP/1.1" 200 1596013
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/MobileComp.js HTTP/1.1" 200 389787
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/nexacrolib/component/Accessibility.js HTTP/1.1" 200 200788
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/environment.xml.js HTTP/1.1" 200 4809
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/Application_Desktop_calendartest.xadl.js HTTP/1.1" 200 1943
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/_resource_/_theme_/blue/theme_desktop_chrome.css HTTP/1.1" 200 96839
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/_resource_/_theme_/blue/theme.desktop.map.js HTTP/1.1" 200 228122
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /NexacroN_client_license.xml HTTP/1.1" 200 895
172.10.12.45 - - [10/Jul/2025:09:29:45 +0900] "GET /nexacroN_v24/24.0.0.700/test_jebi/FrameBase/calendartest.xfdl.js HTTP/1.1" 200 2256
