127.0.0.1 - - [08/Sep/2025:11:25:05 +0900] "GET / HTTP/1.1" 200 116
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/start.json HTTP/1.1" 200 3520
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/environment.xml.js HTTP/1.1" 200 4284
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/FrameBase/Form_Work.xfdl.js HTTP/1.1" 200 3720
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/Application.xadl.js HTTP/1.1" 200 15455
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/_resource_/_theme_/blue/theme_runtime.css HTTP/1.1" 200 37928
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/Application.xadl.js HTTP/1.1" 200 15455
172.10.12.45 - - [08/Sep/2025:11:28:12 +0900] "GET /nexacroN/main_21/1900Menutest/_resource_/_theme_/blue/theme.map.js HTTP/1.1" 200 149718
172.10.12.45 - - [08/Sep/2025:11:28:13 +0900] "GET /nexacroN/main_21/1900Menutest/_resource_/_theme_/blue/images/titlebar_icon.png HTTP/1.1" 200 1515
172.10.12.45 - - [08/Sep/2025:11:28:13 +0900] "GET /nexacroN/main_21/1900Menutest/FrameBase/Form_Work.xfdl.js HTTP/1.1" 200 3720
172.10.12.45 - - [08/Sep/2025:11:28:13 +0900] "GET /nexacroN/main_21/1900Menutest/_resource_/_theme_/blue/images/btn_TF_Min.png HTTP/1.1" 200 970
172.10.12.45 - - [08/Sep/2025:11:28:13 +0900] "GET /nexacroN/main_21/1900Menutest/_resource_/_theme_/blue/images/btn_TF_Normal.png HTTP/1.1" 200 988
172.10.12.45 - - [08/Sep/2025:11:28:13 +0900] "GET /nexacroN/main_21/1900Menutest/_resource_/_theme_/blue/images/btn_TF_Max.png HTTP/1.1" 200 978
